,title,Categorie,collect,town,Pourcentage Raised,Creation Date,Description,NumberDonors
10,aide pour mon papa frais mdicaux opration,"Medical, Illness & Healing","€4,819 raised of €10,000                    ",Évreux,48.2%,"Created December 6, 2021","Chers tous,Mon papa est actuellement en visite chez moi. La semaine dernière, il a commencé à avoir des symptômes d’insuffisance cardiaque. On est allé chez le médecin traitant qui a par la suite nous a envoyé aux urgences. Après avoir fait les tests nécessaires, l’état de mon papa a nécessité son hospitalisation dans les soins intensifs cardiologiques. Le lendemain, il a été transféré dans le service cardiologique pour quelques jours.Cependant, l’assurance de voyage prise au Liban a refusé de prendre en charge les frais d’hospitalisation par cause soit disant que les maladies cardiaques ne sont pas prises en charge.A cause de cela, je me retrouve avec une dette à payer à l’hôpital d’une grosse somme d’argent.Je vous prie de m'aider à récolter l'argent pour les frais médicaux et l'opération chirurgicale pour son coeur qui est préconisée pour être faite après un mois.Je vous remercie par avance, Read more",124
11,aider maria marolany se soigner dun cancer,"Medical, Illness & Healing","€5,247 raised of €8,000                    ",Grasse,65.6%,"Created December 7, 2021","Bonjour je m'appelle Maria, Maria-Aucl Marolany nom d'artiste, chanteuse musicienne et beaucoup d'autres activités. En général, je suis une personne qui ne parle pas de mes problèmes, de maux..., mais je me suis dis, "" je peux m'aider et aider des gens qui n'osent pas en parler"" ! Je collecte des fonds pour me soigner et me  guérir d'un cancer du côlon qui a débuté en Septembre 2019, plus rien au côlon à la suite d'une colectomie, puis  en 2021  les médecins m'annoncent une tumeur à l'utérus et cancer aux poumons , j'ai pris le choix de ne pas faire de chimio et de me soigner avec les moyens les plus naturelles possibles.Le fait est que, en côtoyant à plusieurs reprises les hôpitaux , médecins, IRM, Petscan , scanner et  les produits ingérés, je ne supportais plus tout çà ni dans mon esprit et ni dans mon corps "" j'avais des nausées,des vomissements  etc..."", cela me rendais de plus en plus vulnérable.De plus, cela fait plusieurs années que je ne prenais plus de médicament.Les traitements naturels sont très couteux, c'est pour cela que je fais appelles à vous!Je me suis posé la question, ""est ce que je passe par ce-chemin là, collectes, ou pas"", qui ne tente rien n'as rien.Vu que je suis une femme joyeuse et que la maladie peut te submerger d'angoisse très rapidement, je me suis dit,"" tu dois faire quelque chose.Mais surtout je voulais vous dire que  je garde la force, la confiance et la foi malgré tout, ce n'est pas toujours facile mais c'est possible. Je me dis ""chaque minute, chaque jour, vaut le coup d'être bien vécu "". Je fais des méditations, du qi gong, un peu de yoga, marcher dans la nature, et j'écoute beaucoup de musiques.des amis et ma famille m'aide beaucoup!Merci infiniment pour votre soutien!Read more",93
12,un cuore di bambino,"Medical, Illness & Healing","€1,525 raised of €10,000                    ",Zellwiller,15.2%,"Created January 6, 2022","Des milliers d'enfants de par le monde souffrent de pathologies cardiaques plus ou moins sévères. À travers l'association ""Heartbeat-la chaîne de l'espoir "", nous organisons cette collecte pour assurer une intervention de haut niveau pour un enfant qui autrement n'y a pas accès.Aidez nous à soutenir des familles démunies qui n'ont d'autre moyen pour sauver leur enfant que la solidarité internationale.Merci de votre générosité et votre soutien.Read more",20
13,rz48jg help raise money for cancer treatment,"Medical, Illness & Healing","€895 raised of €70,000                    ",Lille,1.3%,"Created December 13, 2021","Our cute daughterNinjinis 8 years old.In November 2019 the black story started, with a disease that nobody knew what it was. Her left ear became painful and swollen. We visited straight aways to all doctors in different fields and clinics. No one could tell what it was. So we lost 2 months in vain and finally the tumor was opened and the laboratory tests were sent to ASAN Hospital in South Korea. The result was EWING SARCOMA. A malignant tumor in bones, soft tissues, and cartilage that rarely appears in the world. This is the third case in Mongolia with such diagnosis has been made. From April 2020 to May 2021, my little girl received 17 groups of chemotherapy or 26 chemotherapy sessions. All of the sufferings that my child had to endure in her little body created all of us. The post-chemo worsening does not need to be explained what it has been through. Everything went through the COVID-19 period, when everything was lacking. Nevertheless, we somehow made everything possible, thanks to the help of family and friends of our daughter to continuously financial support and procure the chemo, since the hospitals themselves lacked funds. In May she had the last chemo and the doctors said that she had recovered but should still be under control. So we took a deep breath in our hearts and were sure that it was finally over.Unfortunately, we couldn't enjoy it for long becauseher ears had swollen again in October. Our doctors have said that there is nothing more they can do and that we are going to a country where they have better clinic facilities and equipment. We turned to Italian Hospital. They give us hope to get our daughter back to health. But, now we fail to pay for treatment . We have 4 children and my husband is only one with an income at the moment. When the disease started I was pregnant. And I can't work because I have to take care of my sick girl and a baby.Since we have not found any other way out, we are seeking for kind hearted people all over the world, who understand our condition and would perhaps send a little help. We Ask for your understanding! Please save our little daughter! We thank you in advance!!ITALIANO:La nostra preziosa figlia Ninjin ha 8 anni. Circa un’anno mezzo fa è stato diagnosticato Sarcoma di Ewing. Dopo un’anno di cure nel paese di origine Mongolia, ad ottobre ilsarcoma si è ripresentato più aggressivo di prima e si rende necessario il trasferimento in Italia per le cure specifiche di chemioterapia, chirurgia e radioterapia locale.Confidiamo nella vostra sensibilità e umanitàGrazie di cuoreRead more",19
14,aidons andreas vivre avec la maladie de charcot,"Medical, Illness & Healing","€18,150 raised of €20,000                    ", ,90.8%,"Created December 16, 2021","Bonjour à vous tous,Notre père Andreas est atteint de sclérose latérale amyotrophique (SLA), aussi connue sous le nom de maladie de Charcot. Nous souhaitons collecter des fonds pour l’aider à vivre plus sereinement avec cette maladie dégénérative qui a fortement impacté sa vie et celle de notre famille.Il y a maintenant plus de 2 ans, à 55 ans, après plusieurs mois de recherche clinique, il a été diagnostiqué de la SLA. On lit alors sur internet que l’on ne connaît toujours pas les causes de cette maladie, et que l’espérance de vie serait généralement entre 2 et 5 ans... Un choc pour nous qui ne connaissions pas cette maladie rare. Notre père étant de nature positive, a accepté plus ou moins cette situation, ce qui lui permet de mieux faire face aux difficultés rencontrés au quotidien. En même temps, il mène un combat contre sa maladie de différentes manières (alimentation, méditation, médecines alternatives,...). Et effectivement, pour l'instant, sa maladie semble évoluer plutôt lentement.Pour autant, aujourd'hui il n’y a pas de véritable remède et la maladie mène progressivement à la paralysie générale.Après l'annonce de la maladie, il a réagi comme à son habitude avec beaucoup de projets après avoir compris qu'il lui fallait créer un espace adapté à son handicap qui évolue au fur et à mesure.Aujourd'hui, il a de plus en plus de mal à se déplacer, étant donné que la maladie a déjà fortement impacté ses jambes et rend la montée des escaliers très difficile.Notre maison étant difficile à adapter aux besoins du handicap (pas de pièce pour dormir au rdc et salle de bain inadaptée), commence la construction d’une habitation adaptée PMR dans notre grange, avec les aménagements nécessaires au niveau de la cuisine, des toilettes, de la salle de bains, etc. pour pouvoir vivre le plus longtemps le plus autonome possible.Comme il ne peut pas renier ses passions et convictions, il a souhaité en faire un habitat écologique très économe en énergie, avec beaucoup de terre à l’intérieur, et un petit mur en pisé réalisé avec un chantier participatif. Il a toujours été très actif et engagé dans l'écologie et la durabilité en s'impliquant notamment dans la construction en terre, la construction écologique en général et l’efficacité énergétique.Pour tous ces aménagements il y a bien quelques aides et un soutien familial, mais les fonds manquent pour venir à bout de ce chantier et qu'il puisse enfin emménager.Il devient également urgent d’aménager la voiture pour mettre la conduite au volant, ainsi que d'investir dans une sorte de petite grue pour rentrer le fauteuil roulant.C’est pour cela que nous vous sollicitons à lui apporter une contribution, même modeste, pour lui permettre de faire ces aménagements dont il a besoin pour rester au maximum autonome et lui simplifier un peu la vie dans cette situation qu’il n’a pas choisie.Un immense merci pour votre soutien !Myriam, Jonas et Leon10% des sommes récoltées seront reversées à l'ARSLA, association pour la recherche sur la SLA (www.arsla.org) et grand soutien aux malades et leurs familles.Read more",120
15,help mark beat stage iv cancer,"Medical, Illness & Healing","€15,201 raised of €50,000                    ",Nîmes,30.4%,"Created December 3, 2021","Dear friends, family, and good Samaritans.In a matter of weeks, Mark’s family's world was recently turned upside down as their lives took a sudden serious and heartbreaking plunge. Our brother had been experiencing a range of symptoms, including most notably A LOT of difficulty eating and drinking. Soon he had effectively stopped being able to do either and had lost 72 pounds, accompanied by severe vomiting, dehydration, and anemia. After various courses of medications that proved ineffective, an endoscopy/biopsy revealed the dreaded diagnosis no one wants to receive: CANCER, situated in his stomach. Like most cancers, gastric cancer grows quietly, unnoticed -- and once symptoms do appear it is too late for anything but the most radical measures. So, Mark's stomach was removed, and he spent nearly three weeks in intensive care, totaling two months in the hospital. During that time, we learned that Mark’s illness had progressed to STAGE IV CANCER with metastases in his blood and lymph nodes. Thus he faces not only the gruelling and uncertain rounds of chemotherapy that lie ahead as soon as he is able to regain enough strength to undergo them, but he also must come to terms with living life without a stomach and all the attendant challenges.Mark is a brilliant man who began building computers from the ground up as a child, long before this was fashionable or even much heard of. There was little he could not solve – he made cars run, appliances function; he mastered the various trades involved in home renovation – he could apply himself to almost anything, and he did. Along with his native intelligence, Mark has always had a highly creative mind as well as a kind heart; and as the oldest son in our family, he always looked out for his four younger siblings (Abba, Anna, Jeremy, and Armando). Mark spent many years in Vancouver after being compelled to travel the world at a young age and landing in Canada for safe haven. Many years later he returned to Europe, where he would meet his wife Odeta and the young couple would be blessed with their beloved daughter, Chiara. They later relocated to France, where he and his beautiful family have established roots and currently reside. Mark has dedicated his life to his family, to supporting them, and to his work in order to do so. As well, he gives back by volunteering his time and IT skills with the Red Cross and Secure Populaire of France.Marks' family is facing a most difficult battle; and Mark, who has had to fight throughout his life, is facing his most difficult challenge of all. The shocking news leaves us speechless and heartbroken. Just prior to becoming ill, Mark and his young family had finally been able to purchase their modest little home that they’d long been saving for. In a cruel stroke of irony, Mark was in the middle of making improvements to the old kitchen at the time of his collapse; several subsequent seizures were what led him to the ER. Thus, both he and the kitchen are now “gutted,” making it all the more difficult to produce the nourishing food he needs in order to gain enough weight to undergo treatment.Life, as we know, can take unexpected twists and turns.Before his illness, Mark was a full-time professional working as an IT administrator on a variety of accounts at Koesio, working closely with doctors, lawyers, and school administrators, but he will be unable to work for the foreseeable future. Odeta was also a full-time professional at Koesio, working as an Administrator De Vente. Odeta will be unable to work because she will be caring for both her husband and their daughter full-time. The cold, dark winter is coming, and so are the many unexpected bills. The kitchen, otherwise the heart of the home, is not functional and is a constant sad reflection of the family’s life now.Despite the fact that Mark has must confront numerous challenges ahead, we are confident that with his fearlessness attitude, sense of humour, and incredible loving heart, he will meet them with his eyes wide open and triumph. We are hopeful that with treatment and proper care, as well as with the powers greater than ourselves that be, we will be able to help Mark in his time of greatest need.We all need help at some time. Now we kindly and humbly ask for yours on behalf of Mark, his wife Odeta, and their 9-year-old daughter Chiara. Life is so precious.Their family and friends stand with them, their community stands with them -- and we are asking you to stand with them in prayer and by donating what you can, big or small, to help.Please join us in our efforts to raise funds to assist this wonderful family!You can contact Abba with any questions on ways you can help. We thank you so much for caring.Read more",83
16,pour notre petit andy,"Medical, Illness & Healing","€1,340 raised of €1,600                    ",Montcusel,83.8%,"Created December 9, 2021",Bonjour je suis Julie heureuse maman de deux garçons âgé de 4 ans et 7 mois !Notre petit dernier a une brachycephalie de la tête !Il a 102% de malformations et a un écart de plagiocephalie de 8.86mmCe qui nécessite des soins médicaux !Il va devoir porter un casque pendant quelque mois !mais voilà ces soin sont chere et non rembourer et non pris en charge par la sécurité sociale !Nous allons essayer de frapper à toute les portes possible et inimaginable pour essayer d'avoir potentiellement des aides pour pouvoir financer ces soin!Cela a un coup financier de 1600€ sans compter les frais kilométriques car il y aura un suivi tout les 6 semaines a 1h30 de notre domicile !J'ai donc penser a fait cette cagnotte dans l'espoir de récolter un peut pour notre fils Andy!Je vous remercie d'avanceJulie !Read more,46
17,opration prothses pied gauche,"Medical, Illness & Healing","€130 raised of €14,000                    ",Créteil,1.0%,"Created January 14, 2022",""" Bonjour, je crée cette cagnotte afin de subvenir aux frais de santé pour ma maman habitant au Liban. Elle a besoin d'être opérée de son pied gauche, actuellement elle ne peut plus marcher. Elle est alitée. Au Liban, il n'y a pas d'assurance maladie, de mutuelle, tout est à leurs charges. De mon côté, j'ai tenté tant bien que mal de l'aider financièrement, mais travaillant et vivant seule avec mes 2 enfants je ne peux pas subvenir totalement à ses frais de santé. J'ai tout tenté avant d'envisager de faire cette cagnotte. Au vu de ma situation, les demandes de pret me sont refusées. La creation de cette cagnotte est mon dernier recours. Je remercie par avance tout ceux qui feront un don même minime et qui aideront à participer aux frais de santé de ma maman.Read more",7
18,aider enora dans son combat contre la maladie,"Medical, Illness & Healing","€7,821 raised of €10,000                    ", ,78.2%,"Created October 29, 2021","Enora, petite fille de 8 mois, polyhandicapée, rêve un jour de marcher, de parler, d'attraper des objets, d'avoir une vie dont toutes les petites filles rêvent...Enora souffre d'une maladie orpheline rarissime (prévalence 1/1 000 000) probablement d'origine génétique (tests en cours): l'hypoplasie ponto-cérébelleuse (malformation du cervelet et du tronc cérébral). Elle est également touchée au niveau ophtalmique avec une atrophie de ses 2 nerfs optiques.Cette maladie engendre un profond retard sur le développement psychomoteur.Les jalons de développement (tenue assise, ramper, marche, langage, propreté...) sont, pour ces enfants, très rarement atteints. Aucun traitement n’existe et c’est donc grâce à des séances de rééducation neuro-motrices que des progrès peuvent être constatés. En somme, une vie de combat et d’efforts permanents pour l'enfant comme pour sa famille.L’association « ENORA TOUS AVEC TOI » a pour objet de récolter des fonds afin de :Sensibiliser le grand public et faire connaitre la pathologieFinancer ses thérapies en France ou à l’étranger, les transports, les hébergements et ceux de ses accompagnateursEffectuer les transformations d’habitat familialFournir à Enora le matériel pédagogique, médical et de stimulation ainsi que tous les équipements non pris en charge par la solidarité nationaleRead more",90
19,cancer tumeur cerveau,"Medical, Illness & Healing","€2,755 raised of €2,645                    ",Paris,100%,Created 6 days ago,Bonjour ;Nous souhaitons aider Rahim en situation irrégulière et atteint d'un cancer au cerveau .Actuellement il ne bénéficie pas d'aide médicale et doit tout payer de sa poche .Selon les medecins il lui reste à peine 6 mois à vivre mais nous faisons le maximum pour lui récolter aumoins de quoi payer son loyer avec un retard de 3 mois à raison de 600 euros chaque mois Le taxi pour ses allers_retours à l'hôpital où il a commencé sa chimio thérapie .La radiothérapie va partiellement alléger ses maux. Partiellement et ponctuellement.Il commence à perdre l'usage de son œil gaucheNous faisons de notre mieux pour lui《 Nous croisons les doigts pour qu'un miracle se produise》En vous remerciantRead more,19
20,help me medical urgence,"Medical, Illness & Healing","€3,946 raised of €30,000                    ",Villejuif,13.2%,"Created December 23, 2021","Hello!I'm Marius Daniel, 39, the father of two 6-year-old twin girls; i am from Romania. I'm currently in the hospital in Paris. I am sending this message in the hope that there is a chance / you know a company or a person who can help me with any amount to raise the 30,000 euros needed to continue my treatment.I suffered an embolization on December 15, 2021 in Paris. The operation was performed successfully, but the entire malformation could not be embolized and I suffered a stroke after the operation.To cover the costs of the intervention, I took a loan, but now I can't work and my wife needs money to pay for my recovery treatment. This amount would cover my treatment for a year and part of my family's monthly debts and it is very difficult for her with all the debts ... my wife is alone with 2 small children without my salary for at least 1 year. He only has the support of a few friends.My medical diagnosis is a gigantic grade 5 cerebral arteriovenous malformation and the intervention could not be postponed, it was the only chance for treatment for the condition I suffer from.If you are an INDIVIDUAL you can DONATE DIRECTLY to my account Marius Daniel Stanescu RO22INGB0000999911865749 or if you have the ING Bank application directly to my phone number +40722 358 087. If you have Revolut you can help me by sending the money to me ... phone number +40722358087If you know a company that can sponsor my case you can ask about the tax advantages and documents to be prepared contacting the Little People Association [email redacted] Mrs. Oana Rusu +40743 773 843Thank you very much for your help, Marius S.Read more",85
21,axelle,"Medical, Illness & Healing","€1,255 raised of €5,000                    ",Saint-Jouvent,25.1%,"Created January 6, 2022","Bonjour, je m'appelle Axelle, j'ai 24 ans. Je suis une femme transgenre vivant à la campagne, dans une petite habitation autonome avec mon conjoint et pleins d'animaux sur un terrain agricole.Nous dévellopons une activité maraichère depuis 2 ans, nous n'en tirons aucun revenus pour le moment.Pourquoi cette cagnotte ?Cette cagnotte m'aiderai à financer ma chirurgie de réassignation sexuelle (CRS/SRS) en Thaïlande dans le but de supprimer ma dysphorie génitale.Je suis née avec un sexe qui ne correspond pas à mon identité ce qui me cause des soucis dans ma vie et une sévère dysphorie. Pourquoi en Thaïlande ? La Thaïlande est un pays qui regroupe de très bon chirurgiens réputés dans le monde entier, avec des tarifs parmi les plus bas et peu d'attente.Pour effectuer la chirurgie en France, il faut 2 ans de suivie psychiatrique et les délais des chirurgiens sont assez long ( 2 ans pour le chirurgien que j'ai vu )Pour quand, quel chirurgien ?J'ai contacté le Dr Chettawut à Bangkok en Novembre l'année dernière. Nous avons convenu comme date d'opération le 1er novembre 2022. L'opération va durer environ 6 heures, et je vais devoir rester en Thailande immobilisée 25 jours.Le prix ?L'opération coûte après conversion en euro environ 10 500 euroLe billet d'avion coûte minimum 600 euro aller retour, cela fait 1200 avec mon conjointL’hôtel pour environ 30 jours va coûter environ 1000 eurosVisas, passeport, consultation psy sur place, interprète Français, 2 assurance COVID ...Et sûrement d'autres dépenses non prévu. (1000 euro de marge ?)Pour un totale de 14 200 eurosFinancement ?Nous avons déjà donné un acompte de 20% pour bloquer la date soit 2100 euroNous avons réussis à ce jour à avoir 3 500 euro pour l'opérationMa grand mère qui me soutient m'a annoncé qu'elle m'aiderai pour l’hôtel !Cela fait un totale de 6600, il manque à ce jour 7600 euro en théorie.Je te remercie d'avoir pris le temps de lire et merci à celles et ceux qui me soutienne dans mon parcours !Mon insta Axelle.ElsaRead more",19
22,opration de chantal,"Medical, Illness & Healing","€6,340 raised of €5,000                    ",Villabé,100%,"Created November 9, 2021","Bonjour je m appelle chantal et je fais une demande de dons et collecte de fonds afin de pouvoir payer tous les dépassements d honoraires pour une intervention chirurgicale.  je me bats contre le cancer  estomac et œsophage depuis plus de 7 ans.apres de nombreuses complications j en suis arrivee à avoir un montage improbable. Le professeur fait tout pour essayer de me sauver en ai arrive à faire des dessins car ce sont des 1eres.Afin de vivre je suis sous assistance nutritive artificielle et supplementee par des médicaments non rembourses par la ss.Mon état s est fortement dégradé et les cellules cancéreuses continuent leur chemin. Je dois me faire opérer afin de retirer la sonde nasogastrique et essayer de faire une jujenostomie Le seul capable d intervenir et qui accepte est le professeur Marmuse. Il est maintenant en clinique privé ayant du quitter bichât suite à sa mise en retraite.Les frais d anesthésiste, bloc opératoire,et professeur Marmuse s eleve à plus de 4000euros. Sans compter les plus de 150 euros que je paie tous les mois.Pour cela j'ai besoin de votre aide.je vous laisse le soin de faire ce que vous souhaitez et ce que vous pouvez.D avance merci à tousRead more",215
23,aidez notre oncle pour les douleurs intense,"Medical, Illness & Healing","€465 raised of €7,000                    ",Marseille,6.6%,Created 3 days ago,Bonjour je veux aider un oncle en algerie pour pouvoir lui procurer un médicament contre le cancer du rein avancer pour lui éliminer les douleur un maximum et essayer de prolonger la vie un maximum.Si vous pouvez nous aider un maxNom du médicament CABOZANTINIBRead more,10
24,call for solidarity for extra feed long covid,"Medical, Illness & Healing","€761 raised of €1,500                    ",Paris,52.7%,"Created January 12, 2022","Hi all,I am Marta, Phd student In Paris trying to finish the manuscript. In March 2020 I suffered severe Covid19 with pneumonia, lung embolism and myocarditis, risking heart failure. I suffered multiple severe sequelae and started going better when one year later i was diagnosed with massive problems of lung perfusion and micro-vascular damage , auto immune vasculitis and abnormal clotting, severe arthritis in one knee, problems of vision and cognitive problems, so various doctors in Italy and France prescribed various anti inflammatory drugs and anti-coagulants that helped me recover a bit. In my personal experience mRNA vaccines also helped me a bit. I am not yet totally recovered but better. Since September 2021 I live with a very insufficient unemployement salary and my plan was to use some savings and live with little for a little time like for few months in order to finish the PhD and then look for another job. I had a little help from my family too for some medical fees. But this month I have to face:380 euros of University fees because on January 4 they informed me that my application for exoneration was rejected610 euros because i had an accident with my computer. And I had to do some reparations to save the computer100 euros to save some dataI will have to face in January other important medical fees: immunological assessment and biopsy for reactivation of HPV virus (always due to post-covid condition)These fees are really out of my possibilities so I ask to friends and the online community (especially long covid community that well understands) a little help to follow my path and hopefully following my recover, finish the PhD and look for a new job.The fundings raised by this campaign will help cover these extra fees concerning only the month of January 2022.Thanks for your attention.MartaRead more",29
